,song,lyrics
42,"b'50 CENT - HATE IT OR LOVE IT (G-UNIT REMIX) (FEATURING THE GAME, TONY YAYO, YOUNG BUCK & LLOYD BANKS) LYRICS'","Different day, same shit, aint nothin good in the hood"
43,"b'50 CENT - HATE IT OR LOVE IT (G-UNIT REMIX) (FEATURING THE GAME, TONY YAYO, YOUNG BUCK & LLOYD BANKS) LYRICS'",Let me show you what a thug bout Im born to die
44,"b'50 CENT - HATE IT OR LOVE IT (G-UNIT REMIX) (FEATURING THE GAME, TONY YAYO, YOUNG BUCK & LLOYD BANKS) LYRICS'",And Im raps MVP
45,"b'50 CENT - HATE IT OR LOVE IT (G-UNIT REMIX) (FEATURING THE GAME, TONY YAYO, YOUNG BUCK & LLOYD BANKS) LYRICS'","I wanna live good, so shit I sell dope"
46,"b'50 CENT - HATE IT OR LOVE IT (G-UNIT REMIX) (FEATURING THE GAME, TONY YAYO, YOUNG BUCK & LLOYD BANKS) LYRICS'","Im walking with a snub, cause niggaz do a lot of slick talkin"
47,"b'50 CENT - HATE IT OR LOVE IT (G-UNIT REMIX) (FEATURING THE GAME, TONY YAYO, YOUNG BUCK & LLOYD BANKS) LYRICS'","Woke up the next mornin, niggaz had stolen my bike"
48,"b'50 CENT - HATE IT OR LOVE IT (G-UNIT REMIX) (FEATURING THE GAME, TONY YAYO, YOUNG BUCK & LLOYD BANKS) LYRICS'","Hate it or love it, the underdogs on top"
49,"b'50 CENT - HATE IT OR LOVE IT (G-UNIT REMIX) (FEATURING THE GAME, TONY YAYO, YOUNG BUCK & LLOYD BANKS) LYRICS'",This beef shit is for the birds and the birds fly South
50,"b'50 CENT - HATE IT OR LOVE IT (G-UNIT REMIX) (FEATURING THE GAME, TONY YAYO, YOUNG BUCK & LLOYD BANKS) LYRICS'",Mad at us cause Ashanti got a new boyfriend
51,"b'50 CENT - HATE IT OR LOVE IT (G-UNIT REMIX) (FEATURING THE GAME, TONY YAYO, YOUNG BUCK & LLOYD BANKS) LYRICS'",The cold world that we in is full of pressure and pain
52,"b'50 CENT - HATE IT OR LOVE IT (G-UNIT REMIX) (FEATURING THE GAME, TONY YAYO, YOUNG BUCK & LLOYD BANKS) LYRICS'",A seven figure nigga who aint seen a royalty check
53,"b'50 CENT - HATE IT OR LOVE IT (G-UNIT REMIX) (FEATURING THE GAME, TONY YAYO, YOUNG BUCK & LLOYD BANKS) LYRICS'","Yeah, lets take em back"
54,"b'50 CENT - HATE IT OR LOVE IT (G-UNIT REMIX) (FEATURING THE GAME, TONY YAYO, YOUNG BUCK & LLOYD BANKS) LYRICS'",Never listen if I see him Ima lift em
55,"b'50 CENT - HATE IT OR LOVE IT (G-UNIT REMIX) (FEATURING THE GAME, TONY YAYO, YOUNG BUCK & LLOYD BANKS) LYRICS'",And maybe thatll even the score
56,"b'50 CENT - HATE IT OR LOVE IT (G-UNIT REMIX) (FEATURING THE GAME, TONY YAYO, YOUNG BUCK & LLOYD BANKS) LYRICS'",At my last show I threw away my N.W.A. gold
57,"b'50 CENT - HATE IT OR LOVE IT (G-UNIT REMIX) (FEATURING THE GAME, TONY YAYO, YOUNG BUCK & LLOYD BANKS) LYRICS'",How many of them boys is witcha?
58,"b'50 CENT - HATE IT OR LOVE IT (G-UNIT REMIX) (FEATURING THE GAME, TONY YAYO, YOUNG BUCK & LLOYD BANKS) LYRICS'",Aint never had much but a Walkman and a bud
59,"b'50 CENT - HATE IT OR LOVE IT (G-UNIT REMIX) (FEATURING THE GAME, TONY YAYO, YOUNG BUCK & LLOYD BANKS) LYRICS'","But if not, itll be me on the floor"
60,"b'50 CENT - HATE IT OR LOVE IT (G-UNIT REMIX) (FEATURING THE GAME, TONY YAYO, YOUNG BUCK & LLOYD BANKS) LYRICS'",I took 30 off a pack and made them sales
61,"b'50 CENT - HATE IT OR LOVE IT (G-UNIT REMIX) (FEATURING THE GAME, TONY YAYO, YOUNG BUCK & LLOYD BANKS) LYRICS'",With that lil deuce-deuce and my triple fat goose
62,"b'50 CENT - HATE IT OR LOVE IT (G-UNIT REMIX) (FEATURING THE GAME, TONY YAYO, YOUNG BUCK & LLOYD BANKS) LYRICS'",Uh-huh
63,"b'50 CENT - HATE IT OR LOVE IT (G-UNIT REMIX) (FEATURING THE GAME, TONY YAYO, YOUNG BUCK & LLOYD BANKS) LYRICS'",And I aint even got my feet wet yet
64,"b'50 CENT - HATE IT OR LOVE IT (G-UNIT REMIX) (FEATURING THE GAME, TONY YAYO, YOUNG BUCK & LLOYD BANKS) LYRICS'","Sippin, Easy Jesus, rockin a leases"
65,"b'50 CENT - HATE IT OR LOVE IT (G-UNIT REMIX) (FEATURING THE GAME, TONY YAYO, YOUNG BUCK & LLOYD BANKS) LYRICS'","For a four finger ring, one of them gold ropes"
66,"b'50 CENT - HATE IT OR LOVE IT (G-UNIT REMIX) (FEATURING THE GAME, TONY YAYO, YOUNG BUCK & LLOYD BANKS) LYRICS'",I took the bullets outta 50 put em in my fo-five
0,"b'LUDACRIS - WHAT\'S YOUR FANTASY""(FEAT. SHAWNA LYRICS'",The Rock to the Park to the Point to the Flatlands 
1,"b'LUDACRIS - WHAT\'S YOUR FANTASY""(FEAT. SHAWNA LYRICS'",runnin the train when its hot or cold out 
2,"b'LUDACRIS - WHAT\'S YOUR FANTASY""(FEAT. SHAWNA LYRICS'","Legs jerk, overworked, underpaid but dont be afraid "
3,"b'LUDACRIS - WHAT\'S YOUR FANTASY""(FEAT. SHAWNA LYRICS'",[Chorus - repeat 4X]
4,"b'LUDACRIS - WHAT\'S YOUR FANTASY""(FEAT. SHAWNA LYRICS'","Yeah, yeah, yeah, yeah "
5,"b'LUDACRIS - WHAT\'S YOUR FANTASY""(FEAT. SHAWNA LYRICS'",In the sun or up in the shade 
6,"b'LUDACRIS - WHAT\'S YOUR FANTASY""(FEAT. SHAWNA LYRICS'", 
7,"b'LUDACRIS - WHAT\'S YOUR FANTASY""(FEAT. SHAWNA LYRICS'","Then I wanna, ahh ahh - you make it so good I dont wanna leave "
8,"b'LUDACRIS - WHAT\'S YOUR FANTASY""(FEAT. SHAWNA LYRICS'",see I cast em and I past em get a tight grip and I grasp em 
9,"b'LUDACRIS - WHAT\'S YOUR FANTASY""(FEAT. SHAWNA LYRICS'",We go-bots and robots so they gotta wait til the show stop 
10,"b'LUDACRIS - WHAT\'S YOUR FANTASY""(FEAT. SHAWNA LYRICS'",give me TLC cause you know I be too proud 
11,"b'LUDACRIS - WHAT\'S YOUR FANTASY""(FEAT. SHAWNA LYRICS'",You can stratch my back and rule me 
12,"b'LUDACRIS - WHAT\'S YOUR FANTASY""(FEAT. SHAWNA LYRICS'",on the top of my escalade 
13,"b'LUDACRIS - WHAT\'S YOUR FANTASY""(FEAT. SHAWNA LYRICS'","Whips and chains, handcuffs, smack a little booty up with my belt "
14,"b'LUDACRIS - WHAT\'S YOUR FANTASY""(FEAT. SHAWNA LYRICS'",or in back of a classroom 
15,"b'LUDACRIS - WHAT\'S YOUR FANTASY""(FEAT. SHAWNA LYRICS'",Whipped cream with cherries and strawberries on top 
16,"b'LUDACRIS - WHAT\'S YOUR FANTASY""(FEAT. SHAWNA LYRICS'",but you cant be too loud 
17,"b'LUDACRIS - WHAT\'S YOUR FANTASY""(FEAT. SHAWNA LYRICS'","Horseback and Ill get my reigns, school teacher let me get my brains"
18,"b'LUDACRIS - WHAT\'S YOUR FANTASY""(FEAT. SHAWNA LYRICS'","But I gotta, kn-kn-kn-know what-whats your fan-ta-ta-sy"
19,"b'LUDACRIS - WHAT\'S YOUR FANTASY""(FEAT. SHAWNA LYRICS'","I wanna, li-li-li-lick you from yo head to yo toes "
20,"b'LUDACRIS - WHAT\'S YOUR FANTASY""(FEAT. SHAWNA LYRICS'",with the candle lit you give it up till they go out 
21,"b'LUDACRIS - WHAT\'S YOUR FANTASY""(FEAT. SHAWNA LYRICS'",in the back row at the movie 
22,"b'LUDACRIS - WHAT\'S YOUR FANTASY""(FEAT. SHAWNA LYRICS'","give it to me now, give it to me now"
23,"b'LUDACRIS - WHAT\'S YOUR FANTASY""(FEAT. SHAWNA LYRICS'",and if aint good then I trash em while you stash em 
24,"b'LUDACRIS - WHAT\'S YOUR FANTASY""(FEAT. SHAWNA LYRICS'",go head and scream you cant hold out 
25,"b'LUDACRIS - WHAT\'S YOUR FANTASY""(FEAT. SHAWNA LYRICS'",we can do it in the pouring rain 
26,"b'LUDACRIS - WHAT\'S YOUR FANTASY""(FEAT. SHAWNA LYRICS'",I flash em and out last em 
27,"b'LUDACRIS - WHAT\'S YOUR FANTASY""(FEAT. SHAWNA LYRICS'","whats my name, whats my name, whats my name a sauna, jacuzzi "
28,"b'LUDACRIS - WHAT\'S YOUR FANTASY""(FEAT. SHAWNA LYRICS'",[Ludacris] 
29,"b'LUDACRIS - WHAT\'S YOUR FANTASY""(FEAT. SHAWNA LYRICS'",Scream help play my game; dracula man Ill get my fangs 
30,"b'LUDACRIS - WHAT\'S YOUR FANTASY""(FEAT. SHAWNA LYRICS'","Lick it dont stop, keep the door locked while the boat rock  "
31,"b'LUDACRIS - WHAT\'S YOUR FANTASY""(FEAT. SHAWNA LYRICS'","Maybe your girl and my friend can trade; tag team, off the ropes! "
32,"b'LUDACRIS - WHAT\'S YOUR FANTASY""(FEAT. SHAWNA LYRICS'",and the tell me what they fantasy 
33,"b'LUDACRIS - WHAT\'S YOUR FANTASY""(FEAT. SHAWNA LYRICS'",cause you know I got sold out 
34,"b'LUDACRIS - WHAT\'S YOUR FANTASY""(FEAT. SHAWNA LYRICS'","And I wanna, move from the bed down to the down to the to the flo "
35,"b'LUDACRIS - WHAT\'S YOUR FANTASY""(FEAT. SHAWNA LYRICS'",give it to me now..
36,"b'LUDACRIS - WHAT\'S YOUR FANTASY""(FEAT. SHAWNA LYRICS'",LUDACRIS
37,"b'LUDACRIS - WHAT\'S YOUR FANTASY""(FEAT. SHAWNA LYRICS'",Table top or just give me a lap dance 
38,"b'LUDACRIS - WHAT\'S YOUR FANTASY""(FEAT. SHAWNA LYRICS'",how ever you want it lover lover gonna tap that ass soon 
39,"b'LUDACRIS - WHAT\'S YOUR FANTASY""(FEAT. SHAWNA LYRICS'","[Chorus: Ludacris, then Shawna *2X*] "
40,"b'LUDACRIS - WHAT\'S YOUR FANTASY""(FEAT. SHAWNA LYRICS'",or red carpet dick could just roll out 
41,"b'LUDACRIS - WHAT\'S YOUR FANTASY""(FEAT. SHAWNA LYRICS'",lick up your thigh then call me the Pac Man 
42,"b'LUDACRIS - WHAT\'S YOUR FANTASY""(FEAT. SHAWNA LYRICS'",eating fresh fruits sweep yo woman right off her feet
43,"b'LUDACRIS - WHAT\'S YOUR FANTASY""(FEAT. SHAWNA LYRICS'",[Chorus]
44,"b'LUDACRIS - WHAT\'S YOUR FANTASY""(FEAT. SHAWNA LYRICS'",On the ocean or in the boat! Factories or on hundred spokes! 
45,"b'LUDACRIS - WHAT\'S YOUR FANTASY""(FEAT. SHAWNA LYRICS'",like up on the roof roof tell yo boyfriend not to be mad at me
46,"b'LUDACRIS - WHAT\'S YOUR FANTASY""(FEAT. SHAWNA LYRICS'",And if you like in the club we can do it 
47,"b'LUDACRIS - WHAT\'S YOUR FANTASY""(FEAT. SHAWNA LYRICS'","Rip the pants and rip the shirt, ruff sex make it hurt "
48,"b'LUDACRIS - WHAT\'S YOUR FANTASY""(FEAT. SHAWNA LYRICS'",in the DJ booth or in the back of the V.I.P. 
49,"b'LUDACRIS - WHAT\'S YOUR FANTASY""(FEAT. SHAWNA LYRICS'",Roll around Georgia Brown thats the way I like it twerk 
50,"b'LUDACRIS - WHAT\'S YOUR FANTASY""(FEAT. SHAWNA LYRICS'",I wanna get you in the Georgia Dome on the fifty yard line 
51,"b'LUDACRIS - WHAT\'S YOUR FANTASY""(FEAT. SHAWNA LYRICS'",I wanna get you in the back seat windows up 
52,"b'LUDACRIS - WHAT\'S YOUR FANTASY""(FEAT. SHAWNA LYRICS'",or how bout on the beach with black sand 
53,"b'LUDACRIS - WHAT\'S YOUR FANTASY""(FEAT. SHAWNA LYRICS'",while the Dirty Birds kick for tree 
54,"b'LUDACRIS - WHAT\'S YOUR FANTASY""(FEAT. SHAWNA LYRICS'",You can push me or just pull me 
55,"b'LUDACRIS - WHAT\'S YOUR FANTASY""(FEAT. SHAWNA LYRICS'","Whats Your Fantasy""(feat. Shawna"
56,"b'LUDACRIS - WHAT\'S YOUR FANTASY""(FEAT. SHAWNA LYRICS'",Miscellaneous
57,"b'LUDACRIS - WHAT\'S YOUR FANTASY""(FEAT. SHAWNA LYRICS'",on hay in middle of the barn (woo) rose pedals on the silk sheets uh 
58,"b'LUDACRIS - WHAT\'S YOUR FANTASY""(FEAT. SHAWNA LYRICS'","thats the way you like to fuck, clogged up fog alert "
59,"b'LUDACRIS - WHAT\'S YOUR FANTASY""(FEAT. SHAWNA LYRICS'",tryna make them turn the lights out  
60,"b'LUDACRIS - WHAT\'S YOUR FANTASY""(FEAT. SHAWNA LYRICS'",I wanna get you in the bath tub 
61,"b'LUDACRIS - WHAT\'S YOUR FANTASY""(FEAT. SHAWNA LYRICS'",how bout in the library on top of books 
62,"b'LUDACRIS - WHAT\'S YOUR FANTASY""(FEAT. SHAWNA LYRICS'",[Shawna] 
63,"b'LUDACRIS - WHAT\'S YOUR FANTASY""(FEAT. SHAWNA LYRICS'",or we can do it on stage of the Ludacris concert 
64,"b'LUDACRIS - WHAT\'S YOUR FANTASY""(FEAT. SHAWNA LYRICS'",we can do it in the white house 
65,"b'LUDACRIS - WHAT\'S YOUR FANTASY""(FEAT. SHAWNA LYRICS'",champaign with my campaign let me do the damn thing 
66,"b'LUDACRIS - WHAT\'S YOUR FANTASY""(FEAT. SHAWNA LYRICS'",Ill let em free  
67,"b'LUDACRIS - WHAT\'S YOUR FANTASY""(FEAT. SHAWNA LYRICS'","Give it to me now, give it to me now "
68,"b'LUDACRIS - WHAT\'S YOUR FANTASY""(FEAT. SHAWNA LYRICS'",That man Ludacris (woo) in the public bathroom 
69,"b'LUDACRIS - WHAT\'S YOUR FANTASY""(FEAT. SHAWNA LYRICS'",What about up in the candy sto that chocolate chocolate make it melt 
70,"b'LUDACRIS - WHAT\'S YOUR FANTASY""(FEAT. SHAWNA LYRICS'",in the garden all in the dir 
71,"b'LUDACRIS - WHAT\'S YOUR FANTASY""(FEAT. SHAWNA LYRICS'",you wanna make a brother beg for it 
0,b'BUSTA RHYMES - WOO HAH!! GOT YOU ALL IN CHECK LYRICS',"Yo, which muthafucka stole my flow"
1,b'BUSTA RHYMES - WOO HAH!! GOT YOU ALL IN CHECK LYRICS',Always shine cause I got the high pro glow
2,b'BUSTA RHYMES - WOO HAH!! GOT YOU ALL IN CHECK LYRICS',Just feed off dynamic flows an take heed
3,b'BUSTA RHYMES - WOO HAH!! GOT YOU ALL IN CHECK LYRICS',You think that you can hide you think you can lay low
4,b'BUSTA RHYMES - WOO HAH!! GOT YOU ALL IN CHECK LYRICS',Comin through leaving bloodstains and residues
5,b'BUSTA RHYMES - WOO HAH!! GOT YOU ALL IN CHECK LYRICS',Yo really let me roll some weed
6,b'BUSTA RHYMES - WOO HAH!! GOT YOU ALL IN CHECK LYRICS',Whenever I travel the world I land cruise
7,b'BUSTA RHYMES - WOO HAH!! GOT YOU ALL IN CHECK LYRICS',Make you bounce around like this was calypso
8,b'BUSTA RHYMES - WOO HAH!! GOT YOU ALL IN CHECK LYRICS',Woo hah!! Got you all in check
9,b'BUSTA RHYMES - WOO HAH!! GOT YOU ALL IN CHECK LYRICS',Come back with that shit that might make you psycho
10,b'BUSTA RHYMES - WOO HAH!! GOT YOU ALL IN CHECK LYRICS',Busta Rhymes always headlines the street news
11,b'BUSTA RHYMES - WOO HAH!! GOT YOU ALL IN CHECK LYRICS',Actin fool breakin shit down to molecules
12,b'BUSTA RHYMES - WOO HAH!! GOT YOU ALL IN CHECK LYRICS',Sorry this is it but homeboy I got to go
13,b'BUSTA RHYMES - WOO HAH!! GOT YOU ALL IN CHECK LYRICS',And you know we come through to wreck the disco tech
14,b'BUSTA RHYMES - WOO HAH!! GOT YOU ALL IN CHECK LYRICS',"Woo-hah, yo baby girl dont be confused"
15,b'BUSTA RHYMES - WOO HAH!! GOT YOU ALL IN CHECK LYRICS',If you choose to fuck around you get bruised
16,b'BUSTA RHYMES - WOO HAH!! GOT YOU ALL IN CHECK LYRICS',"Yo, take a trip down to Mexico"
17,b'BUSTA RHYMES - WOO HAH!! GOT YOU ALL IN CHECK LYRICS',You now rockin wit the best
18,b'BUSTA RHYMES - WOO HAH!! GOT YOU ALL IN CHECK LYRICS',"Hah, yo, yo, yay, yo, yay"
19,b'BUSTA RHYMES - WOO HAH!! GOT YOU ALL IN CHECK LYRICS',Eenie meenie miney mo
20,b'BUSTA RHYMES - WOO HAH!! GOT YOU ALL IN CHECK LYRICS',Mad out with my dreads in my kango
21,b'BUSTA RHYMES - WOO HAH!! GOT YOU ALL IN CHECK LYRICS',Sorry homeboy but your flow sounds used
22,b'BUSTA RHYMES - WOO HAH!! GOT YOU ALL IN CHECK LYRICS',Top Gun shut down your Firm like Tom Cruise
23,b'BUSTA RHYMES - WOO HAH!! GOT YOU ALL IN CHECK LYRICS',"Ay, ya, you can read all about the pure breed"
24,b'BUSTA RHYMES - WOO HAH!! GOT YOU ALL IN CHECK LYRICS',Sail my seven seas and enjoy my boat cruise
25,b'BUSTA RHYMES - WOO HAH!! GOT YOU ALL IN CHECK LYRICS',forget the Moet nigga just pass the Cisco
26,b'BUSTA RHYMES - WOO HAH!! GOT YOU ALL IN CHECK LYRICS',Throw that type of nigga right out my window
27,b'BUSTA RHYMES - WOO HAH!! GOT YOU ALL IN CHECK LYRICS',Please let me get down and blow a fuse
28,b'BUSTA RHYMES - WOO HAH!! GOT YOU ALL IN CHECK LYRICS',"Yes, I catch wreck and thats word on my seed"
29,b'BUSTA RHYMES - WOO HAH!! GOT YOU ALL IN CHECK LYRICS',Throw your hands up in the air dont ever disrespect
30,b'BUSTA RHYMES - WOO HAH!! GOT YOU ALL IN CHECK LYRICS',Busta Rhymes up in the place true indeed
31,b'BUSTA RHYMES - WOO HAH!! GOT YOU ALL IN CHECK LYRICS',Gotta pay your dues baby you know the rules
32,b'BUSTA RHYMES - WOO HAH!! GOT YOU ALL IN CHECK LYRICS',Woo hah!! I got you all in check
33,b'BUSTA RHYMES - WOO HAH!! GOT YOU ALL IN CHECK LYRICS',Watch me knock you out like Apollo Creed
34,b'BUSTA RHYMES - WOO HAH!! GOT YOU ALL IN CHECK LYRICS',"Yo, let me hit you with my ill street blues"
35,b'BUSTA RHYMES - WOO HAH!! GOT YOU ALL IN CHECK LYRICS',"Yeah, yeah, yeah, yeah, yeah"
36,b'BUSTA RHYMES - WOO HAH!! GOT YOU ALL IN CHECK LYRICS',Get me through give me some space you excuse
37,b'BUSTA RHYMES - WOO HAH!! GOT YOU ALL IN CHECK LYRICS',Hah
38,b'BUSTA RHYMES - WOO HAH!! GOT YOU ALL IN CHECK LYRICS',Flip Mode is the sqiddaud
39,b'BUSTA RHYMES - WOO HAH!! GOT YOU ALL IN CHECK LYRICS',"Bo, coming through like G.I. Joe"
40,b'BUSTA RHYMES - WOO HAH!! GOT YOU ALL IN CHECK LYRICS',The boy scout is who I be
41,b'BUSTA RHYMES - WOO HAH!! GOT YOU ALL IN CHECK LYRICS',Star Wars movie deal like Han Solo
42,b'BUSTA RHYMES - WOO HAH!! GOT YOU ALL IN CHECK LYRICS',Yay
43,b'BUSTA RHYMES - WOO HAH!! GOT YOU ALL IN CHECK LYRICS',One blood everybody like Junior Reid
44,b'BUSTA RHYMES - WOO HAH!! GOT YOU ALL IN CHECK LYRICS',Nationwide dark horse make the world stampede
45,b'BUSTA RHYMES - WOO HAH!! GOT YOU ALL IN CHECK LYRICS',Need more information homeboy then just read
46,b'BUSTA RHYMES - WOO HAH!! GOT YOU ALL IN CHECK LYRICS',Body blow bustin your shit making you bleed
47,b'BUSTA RHYMES - WOO HAH!! GOT YOU ALL IN CHECK LYRICS',I know you really want to know whos
48,b'BUSTA RHYMES - WOO HAH!! GOT YOU ALL IN CHECK LYRICS',How dare you ever try to step on my suede shoes
49,b'BUSTA RHYMES - WOO HAH!! GOT YOU ALL IN CHECK LYRICS',Now I got you gassed on super unleaded fuels
50,b'BUSTA RHYMES - WOO HAH!! GOT YOU ALL IN CHECK LYRICS',"When I step up in the place, ay yo I step correct"
51,b'BUSTA RHYMES - WOO HAH!! GOT YOU ALL IN CHECK LYRICS',Roll up on your ass like Hawaii 5-0
52,b'BUSTA RHYMES - WOO HAH!! GOT YOU ALL IN CHECK LYRICS',Yo we bout to make you set speed
53,b'BUSTA RHYMES - WOO HAH!! GOT YOU ALL IN CHECK LYRICS',"Yo, yo, yay, yay, yo, yay"
54,b'BUSTA RHYMES - WOO HAH!! GOT YOU ALL IN CHECK LYRICS',I got that head nod shit make you break your neck
55,b'BUSTA RHYMES - WOO HAH!! GOT YOU ALL IN CHECK LYRICS',I guarantee to give you what you need
56,b'BUSTA RHYMES - WOO HAH!! GOT YOU ALL IN CHECK LYRICS',Wake up every morning yo I must up seed
57,b'BUSTA RHYMES - WOO HAH!! GOT YOU ALL IN CHECK LYRICS',Do the bogle dance Ill do the pepper seed
58,b'BUSTA RHYMES - WOO HAH!! GOT YOU ALL IN CHECK LYRICS',Mad charged nigga now I must proceed
59,b'BUSTA RHYMES - WOO HAH!! GOT YOU ALL IN CHECK LYRICS',Blast your ass hit you with my direct blow
60,b'BUSTA RHYMES - WOO HAH!! GOT YOU ALL IN CHECK LYRICS',Maximum frequencies through your stereo
61,b'BUSTA RHYMES - WOO HAH!! GOT YOU ALL IN CHECK LYRICS',"Peace to Baby Phife, Q-Tip, Ali Shaheed"
0,b'DOUG E. FRESH - THE SHOW LYRICS',R: Excuse me Doug E Fresh... 
1,b'DOUG E. FRESH - THE SHOW LYRICS',D: Come on... 
2,b'DOUG E. FRESH - THE SHOW LYRICS',Outro 
3,b'DOUG E. FRESH - THE SHOW LYRICS',D: Because these shoes always hurt my corns 
4,b'DOUG E. FRESH - THE SHOW LYRICS',"R: A-yo, Doug "
5,b'DOUG E. FRESH - THE SHOW LYRICS',"The Entertainer, Doug E.... (Fresh)"
6,b'DOUG E. FRESH - THE SHOW LYRICS',D: Yo! Wheres Will and Barr? 
7,b'DOUG E. FRESH - THE SHOW LYRICS',"R: Six minutes...six minutes...six minutes Doug E Fresh, youre on "
8,b'DOUG E. FRESH - THE SHOW LYRICS',"I said, oh no, theres been a mistake "
9,b'DOUG E. FRESH - THE SHOW LYRICS',D: They never write 
10,b'DOUG E. FRESH - THE SHOW LYRICS',Just check out the new style I display 
11,b'DOUG E. FRESH - THE SHOW LYRICS',with one minute rhymes that dont come out right 
12,b'DOUG E. FRESH - THE SHOW LYRICS',"I used to rap and sing, makes sounds and things "
13,b'DOUG E. FRESH - THE SHOW LYRICS',D: Sure 
14,b'DOUG E. FRESH - THE SHOW LYRICS',"Scuse me Doug E Fresh, youre on "
15,b'DOUG E. FRESH - THE SHOW LYRICS',D: Well it started up on 8th Avenue 
16,b'DOUG E. FRESH - THE SHOW LYRICS',and my right hand man Ricky D 
17,b'DOUG E. FRESH - THE SHOW LYRICS',D: So? 
18,b'DOUG E. FRESH - THE SHOW LYRICS',Intro 
19,b'DOUG E. FRESH - THE SHOW LYRICS',And Im also known as the beatbox trainer 
20,b'DOUG E. FRESH - THE SHOW LYRICS',"D: Nuh, nuh na nana no we didnt "
21,b'DOUG E. FRESH - THE SHOW LYRICS',Verse 3 
22,b'DOUG E. FRESH - THE SHOW LYRICS',"Cashin checks, make sound FX "
23,b'DOUG E. FRESH - THE SHOW LYRICS',D: Yes! 
24,b'DOUG E. FRESH - THE SHOW LYRICS',"Honey, my names Slick Rick not Frostie Flakes "
25,b'DOUG E. FRESH - THE SHOW LYRICS',D: A-here we go... 
26,b'DOUG E. FRESH - THE SHOW LYRICS',Tres bien ensemble 
27,b'DOUG E. FRESH - THE SHOW LYRICS',And after I finish rockin Slick Rick is on next 
28,b'DOUG E. FRESH - THE SHOW LYRICS',"D: As you can see, most definitely "
29,b'DOUG E. FRESH - THE SHOW LYRICS',I saw a pretty girl 
30,b'DOUG E. FRESH - THE SHOW LYRICS',R: Put ya Ballys on 
31,b'DOUG E. FRESH - THE SHOW LYRICS',Then she went [fx: roar] like she was Tony the Tiger 
32,b'DOUG E. FRESH - THE SHOW LYRICS',R: Word 
33,b'DOUG E. FRESH - THE SHOW LYRICS',"Scuse me Doug E, Scuse me Doug E, "
34,b'DOUG E. FRESH - THE SHOW LYRICS',R: So! 
35,b'DOUG E. FRESH - THE SHOW LYRICS',"D: Yo, Rick, I was about to but I need a shoehorn "
36,b'DOUG E. FRESH - THE SHOW LYRICS',R: Hello? Is Doug E Fresh in? 
37,b'DOUG E. FRESH - THE SHOW LYRICS',Stepped on the D-train at 205th 
38,b'DOUG E. FRESH - THE SHOW LYRICS',Verse 1 
39,b'DOUG E. FRESH - THE SHOW LYRICS',D: Here we go... 
40,b'DOUG E. FRESH - THE SHOW LYRICS',Barry B is (fresh) 
41,b'DOUG E. FRESH - THE SHOW LYRICS',"R: Well, heres a little somethin that needs to be heard "
42,b'DOUG E. FRESH - THE SHOW LYRICS',And Im D.O.U.G.I.E (fresh) 
43,b'DOUG E. FRESH - THE SHOW LYRICS',witnessed...appearing live...Doug E Fresh and the Get Fresh Crew. 
44,b'DOUG E. FRESH - THE SHOW LYRICS',"Uh uh on, Uh uh on, Uh uh-uh uh-uh uh uh on "
45,b'DOUG E. FRESH - THE SHOW LYRICS',"D: Oh, golly wally "
46,b'DOUG E. FRESH - THE SHOW LYRICS',R: Well dont get us wrong 
47,b'DOUG E. FRESH - THE SHOW LYRICS',"Michelle, ma belle "
48,b'DOUG E. FRESH - THE SHOW LYRICS',"Doug, I was goin Downtown "
49,b'DOUG E. FRESH - THE SHOW LYRICS',R: Why? 
50,b'DOUG E. FRESH - THE SHOW LYRICS',Note: 
51,b'DOUG E. FRESH - THE SHOW LYRICS',R: Scream... 
52,b'DOUG E. FRESH - THE SHOW LYRICS',R: Thats not polite. Am I lyin? 
53,b'DOUG E. FRESH - THE SHOW LYRICS',R = MC Ricky D (aka Slick Rick) 
54,b'DOUG E. FRESH - THE SHOW LYRICS',"Bust a move, we show and prove "
55,b'DOUG E. FRESH - THE SHOW LYRICS',D: Yell... 
56,b'DOUG E. FRESH - THE SHOW LYRICS',"And for example, heres a telephone ring... "
57,b'DOUG E. FRESH - THE SHOW LYRICS',No other title could fit me plainer 
58,b'DOUG E. FRESH - THE SHOW LYRICS',They bite 
59,b'DOUG E. FRESH - THE SHOW LYRICS',G: Get Fresh Crew! 
60,b'DOUG E. FRESH - THE SHOW LYRICS',R: Ya know it 
61,b'DOUG E. FRESH - THE SHOW LYRICS',"D: But anyway, no more delay "
62,b'DOUG E. FRESH - THE SHOW LYRICS',R: Cheerio! 
63,b'DOUG E. FRESH - THE SHOW LYRICS',And Im known for the... [fx: Doug E style beatbox] 
64,b'DOUG E. FRESH - THE SHOW LYRICS',D = Doug E Fresh 
65,b'DOUG E. FRESH - THE SHOW LYRICS',"Sont les mots qui vont, tres bien ensemble "
66,b'DOUG E. FRESH - THE SHOW LYRICS',"G: No, here we go, come on "
67,b'DOUG E. FRESH - THE SHOW LYRICS',"Told em them the time...oh, I forgot the date "
68,b'DOUG E. FRESH - THE SHOW LYRICS',"B: We swear, the best darn rappers of the year "
69,b'DOUG E. FRESH - THE SHOW LYRICS',Ladies and Gentleman...the most exciting stage show youve ever 
70,b'DOUG E. FRESH - THE SHOW LYRICS',"R: Well I dont know, theyre late "
71,b'DOUG E. FRESH - THE SHOW LYRICS',Chill Will (fresh) 
